ID,Year,Edition,Expansion,Number,Team,Name,Points,Icons,Position1,Position2,Hand,OnBase,Out_H,HR_H,Speed,Control,Out_P,HR_P,IP,PU,SO,GB,FB,BB,Single,SinglePlus,Double,Triple,HR,Def_C,Def_1B,Def_2B,Def_SS,Def_3B,Def_LFRF,Def_CF,Icon_R,Icon_RY,Icon_G,Icon_S,Icon_SB,Icon_HR,Icon_V,Icon_20,Icon_CY,Icon_K
2082,'01,1st,Base,125,Indians,Roberto Alomar,410,,2B+2,,S,9,4,19,20,NA,NA,NA,NA,',','1-3,'4,'5-8,'9-14,'15-16,'17-18,','19-20,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
2083,'01,P,Base,125,Indians,Roberto Alomar,410,,2B+2,,S,9,4,19,20,NA,NA,NA,NA,',','1-3,'4,'5-8,'9-14,'15-16,'17-18,','19-20,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
2084,'01,1st,PR,125,Braves,John Smoltz,440,,Starter,,R,NA,NA,NA,NA,3,17,NA,6,'1-2,'3-7,'8-13,'14-17,','18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2085,'01,UL,Base,125,Indians,Roberto Alomar,410,,2B+2,,S,9,4,19,20,NA,NA,NA,NA,',','1-3,'4,'5-8,'9-14,'15-16,'17-18,','19-20,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
2086,'02,UL,Base,125,Tigers,Damion Easley,170,,2B+3,,R,10,7,22,18,NA,NA,NA,NA,','1,'2-5,'6-7,'8-11,'12-17,','18-19,'20-21,'22+,NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
2087,'02,UL,TD,125,Giants,Jason Schmidt,140,,Starter,,R,NA,NA,NA,NA,4,14,27,6,','1-4,'5-10,'11-14,'15-18,'19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2088,'02,SS,PR,125,Expos,Tim Raines '83,390,,LF-RF+2,,S,12,6,21,24,NA,NA,NA,NA,','1,'2-3,'4-6,'7-12,'13-14,'15-17,'18,'19-20,'21+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
2089,'03,UL,Base,125,Tigers,Randall Simon,260,,1B+1,,L,10,7,19,8,NA,NA,NA,NA,','1,'2-5,'6-7,','8-16,','17-18,','19+,NA,1,NA,NA,NA,NA,NA,,,,,,,,,,
2090,'03,UL,TD,125,Braves,Chipper Jones,480,,LF-RF+1,,S,13,6,20,13,NA,NA,NA,NA,','1,'2-3,'4-6,'7-11,'12-17,','18-19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
2091,'03,CC,PR,125,Astros,Nolan Ryan,730,K 20,Starter,,R,NA,NA,NA,NA,5,16,22,8,'1,'2-10,'11,'12-16,'17-19,'20,','21,','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,1,,1
2092,'04,UL,Base,125,Tigers,Wilfredo Ledezma,40,R,Reliever,,L,NA,NA,NA,NA,1,16,24,2,'1-2,'3-5,'6-10,'11-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
2093,'04,UL,TD,125,Phillies,Mike Schmidt,690,V HR G S,3B+4,,R,13,6,17,14,NA,NA,NA,NA,'5,'1-3,'4,'5-6,'7-11,'12-15,','16,','17+,NA,NA,NA,NA,4,NA,NA,,,1,1,,1,1,,,
2094,'04,CC,PR,125,Indians,Bob Feller,660,K 20,Starter,,R,NA,NA,NA,NA,6,16,26,8,'1,'2-9,'10-12,'13-16,'17,'18-20,','21-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,1,,1
2095,'02,UL,TD,126,Pirates,Mike Williams,20,,Closer,,R,NA,NA,NA,NA,5,15,24,1,'1,'2-6,'7-13,'14-15,'16-17,'18,','19-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2096,'03,UL,Base,126,Tigers,Steve Sparks,30,,Starter,,R,NA,NA,NA,NA,1,16,23,6,'1-3,'4-6,'7-13,'14-16,'17,'18-19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2097,'03,UL,TD,126,Phillies,Randy Wolf,500,,Starter,,L,NA,NA,NA,NA,5,16,25,7,'1,'2-5,'6-11,'12-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2098,'04,UL,Base,126,Tigers,Chris Mears,10,,Reliever,,R,NA,NA,NA,NA,1,16,25,1,'1,'2-4,'5-12,'13-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2099,'05,UL,Base,126,Marlins,Josh Beckett,390,,Starter,,R,NA,NA,NA,NA,4,16,25,6,'1,'2-6,'7-12,'13-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2100,'05,UL,TD,126,Phillies,Kenny Lofton,60,,CF+1,,L,10,6,21,12,NA,NA,NA,NA,','1,'2-4,'5-6,'7-11,'12-18,','19,'20,'21+,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,
2101,'00,1st,Base,126,Indians,Roberto Alomar,560,,2B+3,,S,10,4,19,20,NA,NA,NA,NA,','1,'2,'3-4,'5-10,'11-14,'15-16,'17-18,','19-20,NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
2102,'00,1st,PR,126,Mariners,Arthur Rhodes,180,,Reliever,,L,NA,NA,NA,NA,3,16,20,2,'7,'1-6,'8-11,'12-16,'17-19,',',',','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2103,'01,1st,Base,126,Indians,Sandy Alomar Jr.,120,,C+3,,R,7,3,20,15,NA,NA,NA,NA,',','1-3,',','4-16,','17-18,'19,'20+,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2104,'01,1st,PR,126,Angels,Ben Weber,100,,Reliever,,R,NA,NA,NA,NA,2,17,NA,1,'1-3,'4-7,'8-13,'14-17,','18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2105,'02,UL,Base,126,Tigers,Shane Halter,250,,3B+2,SS+1,R,10,6,20,15,NA,NA,NA,NA,','1-3,'4,'5-6,'7-9,'10-15,','16-18,'19,'20+,NA,NA,NA,1,2,NA,NA,,,,,,,,,,
2106,'00,1st,Base,127,Indians,Harold Baines,340,,DH,,L,9,4,18,10,NA,NA,NA,NA,',','1-2,'3-4,'5-8,'9-16,','17,','18-20,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2107,'00,1st,PR,127,Mariners,Aaron Sele,380,,Starter,,R,NA,NA,NA,NA,3,16,NA,7,'7-8,'1-6,'9-13,'14-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2108,'01,1st,Base,127,Indians,Jason Bere,170,,Starter,,R,NA,NA,NA,NA,1,17,NA,5,'1-3,'4-8,'9-14,'15-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2109,'01,1st,PR,127,Twins,Luis Rivas,110,,2B+2,,R,7,5,NA,20,NA,NA,NA,NA,','1,'2-3,'4-5,'6-8,'9-14,'15,'16-19,'20,',NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
2110,'02,UL,Base,127,Tigers,Bobby Higginson,280,,LF-RF+2,,L,11,6,20,18,NA,NA,NA,NA,',','1-2,'3-6,'7-11,'12-16,'17,'18,'19,'20+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
2111,'02,UL,TD,127,Phillies,Terry Adams,450,,Starter,,R,NA,NA,NA,NA,4,16,27,7,'1-2,'3-7,'8-13,'14-16,'17,'18-26,',',','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2112,'03,UL,Base,127,Tigers,Dmitri Young,130,,DH,,S,9,5,20,9,NA,NA,NA,NA,','1,'2-4,'5,'6-8,'9-16,','17-19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2113,'03,UL,TD,127,Phillies,Kevin Millwood,470,,Starter,,R,NA,NA,NA,NA,5,15,24,6,'1-2,'3-6,'7-12,'13-15,'16-17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2114,'04,UL,Base,127,Tigers,Warren Morris,160,,2B+4,,L,9,5,20,10,NA,NA,NA,NA,','1,'2-4,'5,'6-8,'9-17,','18-19,','20+,NA,NA,4,NA,NA,NA,NA,,,,,,,,,,
2115,'05,UL,Base,127,Marlins,Armando Benitez,310,RP,Closer,,R,NA,NA,NA,NA,6,17,25,1,'1-3,'4-8,'9-12,'13-17,'18-19,'20-22,','23-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2116,'05,UL,TD,127,Mariners,Adrian Beltre,740,,3B+2,,R,13,7,18,12,NA,NA,NA,NA,','1,'2-4,'5-7,'8-9,'10-15,','16-17,','18+,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2117,'05,UL,Base,128,Marlins,Miguel Cabrera,400,,LF-RF+0,,R,11,6,19,11,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-10,'11-16,','17-18,','19+,NA,NA,NA,NA,NA,0,NA,,,,,,,,,,
2118,'05,UL,TD,128,Cardinals,David Eckstein,110,,SS+0,,R,10,6,21,15,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,'18,'19-20,','21+,NA,NA,NA,0,NA,NA,NA,,,,,,,,,,
2119,'00,1st,Base,128,Indians,Dave Burba,370,,Starter,,R,NA,NA,NA,NA,3,16,NA,7,'5-6,'1-4,'7-11,'12-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2120,'00,1st,PR,128,Cardinals,Jim Edmonds,380,,OF+2,,L,9,4,19,15,NA,NA,NA,NA,','1-2,'3,'4,'5-8,'9-15,','16-18,','19-20,NA,NA,NA,NA,NA,2,2,,,,,,,,,,
2121,'01,1st,Base,128,Indians,Dave Burba,340,,Starter,,R,NA,NA,NA,NA,3,16,NA,6,'1-2,'3-7,'8-13,'14-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2122,'01,1st,PR,128,Devil Rays,Travis Harper,300,,Starter,,R,NA,NA,NA,NA,4,15,NA,6,'1-8,'9-10,'11-13,'14-15,'16,'17-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2123,'02,UL,Base,128,Tigers,Jose Macias,240,,3B+3,OF+2,S,9,6,23,20,NA,NA,NA,NA,',','1-5,'6,'7-8,'9-16,'17,'18-19,'20-22,'23+,NA,NA,NA,NA,3,2,2,,,,,,,,,,
2124,'02,UL,TD,128,Rangers,Chan Ho Park,400,,Starter,,R,NA,NA,NA,NA,2,18,25,7,'1-4,'5-10,'11-14,'15-18,'19-24,',',',','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2125,'03,UL,Base,128,Marlins,A. J. Burnett,480,,Starter,,R,NA,NA,NA,NA,4,16,25,7,'1-2,'3-7,'8-13,'14-16,'17,'18-20,','21-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2126,'03,UL,TD,128,Astros,Jeff Kent,550,S,2B+3,,R,11,6,19,13,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-10,'11-16,','17-18,','19+,NA,NA,3,NA,NA,NA,NA,,,,1,,,,,,
2127,'04,UL,Base,128,Tigers,Carlos Pena,140,,1B+1,,L,9,6,22,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-17,','18-19,'20,'22+,NA,1,NA,NA,NA,NA,NA,,,,,,,,,,
2128,'02,UL,TD,129,Mets,Jeff D'Amico,10,,Starter,,R,NA,NA,NA,NA,4,15,20,5,'1-4,'5-6,'7-11,'12-15,','16-17,','18-19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2129,'03,UL,Base,129,Marlins,Luis Castillo,220,SB,2B+1,,S,11,6,21,24,NA,NA,NA,NA,','1,'2-5,'6,'7-9,'10-16,'17-19,'20,','21+,NA,NA,1,NA,NA,NA,NA,,,,,1,,,,,
2130,'03,UL,TD,129,Devil Rays,Rocco Baldelli,520,R,CF+1,,R,12,5,20,13,NA,NA,NA,NA,','1,'2-3,'4-5,'6-8,'9-15,','16-18,'19,'20+,NA,NA,NA,NA,NA,NA,1,1,,,,,,,,,
2131,'04,UL,Base,129,Tigers,Ramon Santiago,20,,SS+4,2B+3,S,9,6,21,12,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-18,','19-20,','21+,NA,NA,3,4,NA,NA,NA,,,,,,,,,,
2132,'05,UL,Base,129,Marlins,Luis Castillo,150,G,2B+4,,S,11,6,21,18,NA,NA,NA,NA,','1,'2-5,'6,'7-10,'11-17,'18-19,'20,','21+,NA,NA,4,NA,NA,NA,NA,,,1,,,,,,,
2133,'05,UL,TD,129,Dodgers,Derek Lowe,30,,Starter,,R,NA,NA,NA,NA,1,16,26,6,'1,'2-4,'5-13,'14-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2134,'00,1st,Base,129,Indians,Bartolo Colon,440,,Starter,,R,NA,NA,NA,NA,3,17,NA,6,'5-7,'1-4,'8-13,'14-17,'18,'19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2135,'00,1st,PR,129,Cardinals,Pat Hentgen,170,,Starter,,R,NA,NA,NA,NA,3,16,20,5,'4-6,'1-3,'7-11,'12-16,'17,'18-19,',',','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2136,'01,1st,Base,129,Indians,Bartolo Colon,360,,Starter,,R,NA,NA,NA,NA,2,17,NA,6,'1-3,'4-10,'11-15,'16-17,'18-19,'20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2137,'01,AP,Base,129,Indians,Bartolo Colon,360,,Starter,,R,NA,NA,NA,NA,2,17,NA,6,'1-3,'4-10,'11-15,'16-17,'18-19,'20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2138,'01,1st,PR,129,Devil Rays,Aubrey Huff,200,,3B+1,,L,8,4,19,10,NA,NA,NA,NA,','1-2,','3-4,'5-8,'9-15,','16-18,','19-20,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
2139,'02,UL,Base,129,Tigers,Steve Sparks,320,,Starter,,R,NA,NA,NA,NA,4,16,25,7,'1-3,'4-6,'7-13,'14-16,'17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2140,'00,1st,Base,130,Indians,Einar Diaz,160,,C+7,,R,7,4,20,15,NA,NA,NA,NA,',','1-2,'3-4,'5-6,'7-16,'17,'18-19,','20+,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2141,'00,1st,PR,130,Cardinals,Darryl Kile,230,,Starter,,R,NA,NA,NA,NA,3,15,NA,6,'5,'1-4,'6-11,'12-15,'16-17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2142,'01,1st,Base,130,Indians,Wil Cordero,190,,LF-RF+1,,R,7,3,18,10,NA,NA,NA,NA,','1,'2,'3,'4-5,'6-12,','13-16,'17,'18-20,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
2143,'01,1st,PR,130,Dodgers,Paul Lo Duca,100,,C+6,,R,7,5,20,15,NA,NA,NA,NA,',','1-3,'4-5,'6-9,'10-16,'17,'18-19,','20+,6,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2144,'02,UL,Base,130,Tigers,Jeff Weaver,330,,Starter,,R,NA,NA,NA,NA,1,19,26,7,'1-5,'6-9,'10-15,'16-19,','20-25,',',','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2145,'02,UL,TD,130,Angels,Kevin Appier,340,,Starter,,R,NA,NA,NA,NA,1,19,22,6,'1-4,'5-9,'10-15,'16-19,'20-21,',',',','22+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2146,'03,UL,Base,130,Marlins,Juan Encarnacion,280,,LF-RF+1,,R,9,5,19,16,NA,NA,NA,NA,','1,'2-3,'4-5,'6-8,'9-15,'16,'17-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
2147,'03,UL,TD,130,Yankees,Hideki Matsui,600,R,LF-RF+1,,R,13,6,19,11,NA,NA,NA,NA,','1-3,'4,'5-6,'7-12,'13-16,','17-18,','19+,NA,NA,NA,NA,NA,1,NA,1,,,,,,,,,
2148,'04,UL,Base,130,Tigers,Andres Torres,10,,CF+1,,S,9,8,21,11,NA,NA,NA,NA,','1-2,'3-6,'7-8,'9-11,'12-18,','19,'20,'21+,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,
2149,'05,UL,Base,130,Marlins,Jeff Conine,130,,LF-RF+1,1B+1,R,10,7,20,13,NA,NA,NA,NA,','1,'2-4,'5-7,'8-10,'11-17,','18-19,','20+,NA,1,NA,NA,NA,1,NA,,,,,,,,,,
2150,'05,UL,TD,130,Reds,Joe Randa,200,,3B+2,,R,10,6,20,10,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,','18-19,','20+,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2151,'05,UL,Base,131,Marlins,Alex Gonzalez,100,,SS+2,,R,9,8,19,14,NA,NA,NA,NA,','1-2,'3-4,'5-8,'9-10,'11-16,','17-18,','19+,NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
2152,'05,UL,TD,131,Dodgers,Jose Valentin,260,,SS+4,,L,9,6,18,12,NA,NA,NA,NA,','1-2,'3,'4-6,'7-11,'12-15,','16-17,','18+,NA,NA,NA,4,NA,NA,NA,,,,,,,,,,
2153,'00,1st,Base,131,Indians,Travis Fryman,150,,3B+2,,R,6,3,18,15,NA,NA,NA,NA,',','1,'2-3,'4-6,'7-14,','15-17,','18-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2154,'00,1st,PR,131,Cardinals,Eli Marrero,100,,C+8,,R,4,5,16,20,NA,NA,NA,NA,',','1-3,'4-5,','6,'7-13,'14-15,','16-20,8,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2155,'01,1st,Base,131,Indians,Chuck Finley,390,,Starter,,R,NA,NA,NA,NA,2,17,NA,6,'1-2,'3-7,'8-14,'15-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2156,'01,1st,PR,131,Giants,Eric Davis,220,,LF-RF+1,,R,9,4,20,15,NA,NA,NA,NA,','1-2,'3-4,','5-10,'11-18,','19,','20+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
2157,'02,UL,Base,131,Marlins,Antonio Alfonseca,100,,Closer,,R,NA,NA,NA,NA,2,18,25,1,'1-2,'3-6,'7-15,'16-18,','19-24,',',','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2158,'02,UL,TD,131,Brewers,Glendon Rusch,150,,Starter,,L,NA,NA,NA,NA,4,15,21,5,'1-3,'4-7,'8-10,'11-15,','16-19,','20,','21+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2159,'03,UL,Base,131,Marlins,Alex Gonzalez,60,,SS+1,,R,8,6,20,10,NA,NA,NA,NA,','1-2,'3-4,'6,'7-10,'11-17,','18-19,','20+,NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
2160,'03,UL,TD,131,Phillies,Jim Thome,620,HR,1B+0,,L,13,5,18,10,NA,NA,NA,NA,','1-2,'3,'4-5,'6-12,'13-16,','17,','18+,NA,0,NA,NA,NA,NA,NA,,,,,,1,,,,
2161,'04,UL,Base,131,Tigers,Dmitri Young,200,,LF-RF+1,3B+1,S,11,7,20,10,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-11,'12-17,','18-19,','20+,NA,NA,NA,NA,1,1,NA,,,,,,,,,,
2162,'02,UL,TD,132,Cardinals,Jason Isringhausen,260,,Closer,,R,NA,NA,NA,NA,5,18,25,1,'1-2,'3-9,'10-15,'16-18,','19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2163,'03,UL,Base,132,Marlins,Charles Johnson,70,,C+7,,R,9,7,20,8,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-12,'13-16,','17-19,','20+,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2164,'03,RS,TD,132,Mariners,Kazuhiro Sasaki '00,210,RY,Closer,,R,NA,NA,NA,NA,5,16,23,1,'1-3,'4-10,'11-14,'15-16,'17-18,'19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,,1,,,,,,,,
2165,'04,UL,Base,132,Marlins,Josh Beckett,440,,Starter,,R,NA,NA,NA,NA,5,16,27,6,'1-3,'4-9,'10-15,'16,'17,'18-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2166,'05,UL,Base,132,Marlins,Mike Lowell,430,,3B+1,,R,10,5,19,11,NA,NA,NA,NA,',','1-2,'3-5,'6-9,'10-15,','16-18,','19+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
2167,'05,UL,TD,132,Blue Jays,David Bush,270,,Starter,,R,NA,NA,NA,NA,4,16,24,6,'1-3,'4-7,'8-13,'14-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2168,'00,1st,Base,132,Indians,Mike Jackson,200,,Closer,,R,NA,NA,NA,NA,6,15,NA,1,'5-7,'1-4,'8-12,'13-15,'16-17,'18-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2169,'00,1st,PR,132,Cardinals,Dave Veres,170,,Closer,,R,NA,NA,NA,NA,5,15,NA,1,'6-7,'1-5,'8-11,'12-15,'16-17,'18-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2170,'01,1st,Base,132,Indians,Travis Fryman,300,,3B+2,,R,9,3,19,10,NA,NA,NA,NA,','1,'2,'3,'4-8,'9-16,','17-18,','19-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2171,'01,1st,PR,132,Expos,Fernando Tatis,370,,3B+2,,R,9,4,18,15,NA,NA,NA,NA,','1-3,','4,'5-11,'12-14,'15,'16-17,','18-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2172,'02,UL,Base,132,Marlins,Josh Beckett,500,,Starter,,R,NA,NA,NA,NA,3,18,25,5,'1-4,'5-11,'12-13,'14-18,'19,'20-24,',',','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2173,'00,1st,Base,133,Indians,David Justice,350,,LF-RF+2,,L,10,5,19,10,NA,NA,NA,NA,','1-2,'3-4,'5,'6-12,'13-17,','18,','19-20,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
2174,'00,1st,PR,133,Cardinals,Fernando Vina,400,,2B+4,,L,10,4,NA,20,NA,NA,NA,NA,',','1-3,'4,'5-8,'9-17,'18,'19-20,',',NA,NA,4,NA,NA,NA,NA,,,,,,,,,,
2175,'01,1st,Base,133,Indians,Steve Karsay,190,,Closer,,R,NA,NA,NA,NA,5,15,NA,1,'1,'2-6,'7-12,'13-15,'16,'17-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2176,'01,1st,PR,133,Expos,Ugueth Urbina,270,,Closer,,R,NA,NA,NA,NA,4,17,NA,1,'1-3,'4-10,'12-14,'15-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2177,'02,UL,Base,133,Marlins,A.J. Burnett,310,,Starter,,R,NA,NA,NA,NA,4,16,23,6,'1-3,'4-7,'8-12,'13-16,'17-18,'19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2178,'02,UL,TD,133,White Sox,Todd Ritchie,340,,Starter,,R,NA,NA,NA,NA,1,19,25,6,'1-3,'4-7,'8-15,'16-19,','20-24,',',','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2179,'03,UL,Base,133,Marlins,Derrek Lee,340,,1B+0,,R,11,6,19,15,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-15,'16,'17-18,','19+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
2180,'03,RS,TD,133,Rockies,Jason Jennings '02,310,RY,Starter,,R,NA,NA,NA,NA,3,17,26,7,'1-3,'4-7,'8-14,'15-17,'18,'19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,1,,,,,,,,
2181,'04,UL,Base,133,Marlins,Miguel Cabrera,140,R,LF-RF+1,3B+1,R,9,6,19,8,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-9,'10-15,','16-18,','19+,NA,NA,NA,NA,1,1,NA,1,,,,,,,,,
2182,'05,UL,Base,133,Marlins,Carl Pavano,400,,Starter,,R,NA,NA,NA,NA,4,16,26,7,'1-3,'4-6,'7-14,'15-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2183,'05,UL,TD,133,Nationals,Brian Schneider,80,,C+8,,L,9,7,20,12,NA,NA,NA,NA,','1-3,'4-6,'7,'8-10,'11-16,','17-19,','20+,8,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2184,'05,UL,Base,134,Marlins,Matt Perisho,80,,Reliever,,L,NA,NA,NA,NA,2,16,24,1,'1,'2-6,'7-11,'12-16,'17-18,'19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2185,'05,UL,TD,134,Red Sox,Matt Clement,370,,Starter,,R,NA,NA,NA,NA,3,17,24,6,'1,'2-7,'8-14,'15-17,'18,'19-21,','22-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2186,'00,1st,Base,134,Indians,Kenny Lofton,440,,CF+2,LF-RF+1,L,10,5,20,20,NA,NA,NA,NA,','1-2,'3-4,'5,'6-11,'12-16,'17,'18-19,','20+,NA,NA,NA,NA,NA,1,2,,,,,,,,,,
2187,'00,1st,PR,134,Devil Rays,Vinny Castilla,170,,3B+2,,R,6,4,17,15,NA,NA,NA,NA,',','1-2,'3-4,'5-6,'7-15,','16,','17-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2188,'01,1st,Base,134,Indians,Kenny Lofton,290,,OF+1,,L,9,5,20,20,NA,NA,NA,NA,',','1-3,'4-5,'6-10,'11-15,'16-17,'18,'19,'20+,NA,NA,NA,NA,NA,1,1,,,,,,,,,,
2189,'01,1st,PR,134,Cardinals,Steve Kline,110,,Reliever,,L,NA,NA,NA,NA,4,15,NA,1,'1-2,'3-6,'7-12,'13-15,'16,'17-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2190,'02,UL,Base,134,Marlins,Luis Castillo,160,,2B+2,,S,10,6,27,21,NA,NA,NA,NA,','1,'2-5,'6,'7-11,'12-17,'18-19,','20-26,'27+,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
2191,'02,UL,TD,134,Mets,Shawn Estes,320,,Starter,,L,NA,NA,NA,NA,5,15,27,6,'1-2,'3-5,'6-11,'12-15,'16-17,'18-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
2192,'03,UL,Base,134,Marlins,Mike Lowell,250,,3B+2,,R,10,6,20,10,NA,NA,NA,NA,','1,'2-3,'4-6,'7-10,'11-16,','17-19,','20+,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
2193,'03,RS,TD,134,Braves,Rafael Furcal '00,340,RY,SS+4,2B+1,S,12,7,21,24,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-12,'13-16,'17-18,'19,'20,'21+,NA,NA,1,4,NA,NA,NA,,1,,,,,,,,
